Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 2126161620
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
new_RTT_at: 26.3434 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= inf rtt= 26.3198
new_RTT_at: 55.0244 cur_dir= 2 prev_v= 1 cur_v= 1 window= 4.28166 target= inf rtt= 22.2155
new_RTT_at: 82.3476 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.5358 target= 44.3179 rtt= 24.4981
new_RTT_at: 130.291 cur_dir= 2 prev_v= 1 cur_v= 2 window= 10.2766 target= -21.236 rtt= 42.5121
new_RTT_at: 198.621 cur_dir= -12 prev_v= 1 cur_v= 1 window= 8.30826 target= -33.4122 rtt= 52.6728
new_RTT_at: 248.232 cur_dir= -9 prev_v= 1 cur_v= 1 window= 6.57931 target= -26.5002 rtt= 46.4051
new_RTT_at: 317.191 cur_dir= -8 prev_v= 1 cur_v= 1 window= 4.78374 target= -37.2947 rtt= 56.8809
new_RTT_at: 347.268 cur_dir= -5 prev_v= 1 cur_v= 1 window= 2.83032 target= 63.5343 rtt= 23.4185
new_RTT_at: 379.163 cur_dir= 3 prev_v= 1 cur_v= 1 window= 5.39233 target= 22.0497 rtt= 27.0106
new_RTT_at: 423.646 cur_dir= 4 prev_v= 1 cur_v= 2 window= 7.61763 target= -17.1856 rtt= 39.9487
new_RTT_at: 456.188 cur_dir= -8 prev_v= 1 cur_v= 1 window= 6.01585 target= 3.56664 rtt= 31.0946
new_RTT_at: 480.503 cur_dir= 5 prev_v= 1 cur_v= 1 window= 7.76947 target= inf rtt= 22.0991
